Campanha,Própria,Imprópria,Muito Boa,Indisponível,Satisfatória
25581,13,3,0,0,0
25541,5,1,0,0,0
25421,14,2,0,0,0
25441,6,0,0,0,0
25501,5,1,0,0,0
25481,19,1,0,0,0
25461,15,23,0,0,0
25401,24,5,0,0,0
25321,13,3,0,0,0
25341,19,1,0,0,0
25361,23,15,0,0,0
25381,25,4,0,0,0
25301,6,0,0,0,0
25281,6,0,0,0,0
25221,6,0,0,0,0
25241,6,0,0,0,0
25261,15,1,0,0,0
25201,26,3,0,0,0
25181,21,17,0,0,0
25161,19,1,0,0,0
25081,19,1,0,0,0
25061,20,18,0,0,0
25041,29,0,0,0,0
25141,6,0,0,0,0
25121,6,0,0,0,0
25101,15,1,0,0,0
24961,6,0,0,0,0
25001,25,2,0,0,0
25021,15,23,0,0,0
24981,6,0,0,0,0
24921,22,7,0,0,0
24941,15,1,0,0,0
24841,11,5,0,0,0
24901,2,0,0,4,0
24801,14,24,0,0,0
24881,22,7,0,0,0
24861,4,2,0,0,0
24821,26,1,0,0,0
24741,2,0,0,4,0
24781,21,17,0,0,0
24761,6,0,0,0,0
24721,25,2,0,0,0
24701,15,1,0,0,0
24681,26,3,0,0,0
24421,21,8,0,0,0
24441,23,4,0,0,0
24601,15,1,0,0,0
24461,8,0,0,4,0
24581,17,21,0,0,0
24481,2,0,0,4,0
24301,2,0,0,4,0
24401,6,0,0,0,0
24361,17,12,0,0,0
24381,14,24,0,0,0
24321,24,3,0,0,0
24341,14,2,0,0,0
24241,15,1,0,0,0
24281,24,14,0,0,0
24261,23,3,0,1,0
24221,22,7,0,0,0
24181,6,0,0,0,0
24121,38,16,0,0,0
24101,6,0,0,0,0
24061,21,8,0,0,0
24081,6,0,0,0,0
24161,22,4,0,1,0
24001,6,0,0,0,0
23941,19,10,0,0,0
23981,6,0,0,0,0
24041,23,3,0,1,0
24021,23,15,0,0,0
23961,14,2,0,0,0
23881,6,0,0,0,0
23921,13,3,0,0,0
23901,6,0,0,0,0
23861,24,2,0,1,0
23841,27,11,0,0,0
23821,25,4,0,0,0
23741,14,2,0,0,0
23721,6,0,0,0,0
23701,29,9,0,0,0
23801,6,0,0,0,0
23781,22,7,0,0,0
23761,24,2,0,0,0
23581,27,2,0,0,0
23621,6,0,0,0,0
23601,13,3,0,0,0
23641,23,15,0,0,0
23661,24,2,0,0,0
23681,6,0,0,0,0
23501,14,2,0,0,0
23481,11,27,0,0,0
23561,6,0,0,0,0
23521,22,7,0,0,0
23541,12,0,0,0,0
23461,21,5,0,1,0
23441,25,1,0,1,0
23401,6,0,0,0,0
23421,6,0,0,0,0
23381,24,14,0,0,0
23361,13,3,0,0,0
23341,25,4,0,0,0
23281,26,3,0,0,0
23301,23,3,0,1,0
23241,23,15,0,0,0
23261,14,2,0,0,0
23221,6,0,0,0,0
23321,4,2,0,0,0
23061,23,3,0,1,0
23121,6,0,0,0,0
23201,0,0,0,6,0
23101,19,16,0,3,0
23081,14,2,0,0,0
23041,26,3,0,0,0
22981,23,5,0,1,0
23001,14,2,0,0,0
22961,16,19,0,3,0
23181,0,0,0,6,0
22941,24,2,0,0,0
23021,6,0,0,0,0
22881,12,4,0,0,0
22841,6,0,0,0,0
23161,0,0,0,6,0
22861,24,4,0,1,0
22901,26,1,0,0,0
22921,27,8,0,3,0
22801,25,2,0,0,0
22741,6,0,0,0,0
23141,0,0,0,6,0
22761,13,3,0,0,0
22821,24,4,0,1,0
22781,26,9,0,3,0
22661,25,10,0,0,0
22641,25,3,0,1,0
22721,6,0,0,0,0
22701,24,3,0,0,0
22681,14,2,0,0,0
22601,15,1,0,0,0
22621,25,10,0,0,0
22581,6,0,0,0,0
22561,27,1,0,0,0
22541,26,2,0,0,0
22521,25,10,0,0,0
22501,27,1,0,0,0
22461,14,2,0,0,0
22441,5,1,0,0,0
22481,26,2,0,0,0
22361,21,14,0,0,0
22341,6,0,0,0,0
22421,16,0,0,0,0
22401,27,1,0,0,0
22381,26,2,0,0,0
22321,14,2,0,0,0
22241,24,4,0,0,0
22301,6,0,0,0,0
22261,28,0,0,0,0
22281,21,14,0,0,0
22141,27,1,0,0,0
22161,5,1,0,0,0
22221,17,18,0,0,0
22201,12,4,0,0,0
22181,23,5,0,0,0
22061,12,4,0,0,0
22121,21,14,0,0,0
22101,26,2,0,0,0
22081,5,1,0,0,0
22041,22,6,0,0,0
21921,25,3,0,0,0
21941,23,5,0,0,0
21961,12,4,0,0,0
22021,5,1,0,0,0
21981,21,14,0,0,0
21861,23,5,0,0,0
22001,4,4,0,4,0
21901,21,7,0,0,0
21881,12,4,0,0,0
21841,21,14,0,0,0
21821,21,7,0,0,0
21801,23,5,0,0,0
21781,14,2,0,0,0
21741,19,16,0,0,0
21761,6,0,0,0,0
21701,23,5,0,0,0
21661,18,10,0,0,0
21721,6,0,0,0,0
21641,15,1,0,0,0
21681,21,14,0,0,0
21621,6,0,0,0,0
21481,23,5,0,0,0
21461,19,16,0,0,0
21521,20,8,0,0,0
21501,15,1,0,0,0
21601,0,0,0,6,0
21441,18,10,0,0,0
21421,23,5,0,0,0
21401,16,0,0,0,0
21381,23,12,0,0,0
21341,26,2,0,0,0
21321,19,16,0,0,0
21301,24,4,0,0,0
21581,0,0,0,6,0
21361,16,0,0,0,0
21261,27,1,0,0,0
21561,0,0,0,6,0
21221,25,3,0,0,0
21281,16,0,0,0,0
21241,23,12,0,0,0
21541,0,0,0,6,0
21201,20,15,0,0,0
21181,15,1,0,0,0
21161,26,2,0,0,0
21141,28,0,0,0,0
21061,28,0,0,0,0
21121,25,10,0,0,0
21101,16,0,0,0,0
21081,26,2,0,0,0
20981,24,11,0,0,0
21041,27,1,0,0,0
21021,16,0,0,0,0
21001,28,0,0,0,0
20941,26,2,0,0,0
20901,28,7,0,0,0
20961,26,2,0,0,0
20921,15,1,0,0,0
20861,27,1,0,0,0
20821,26,2,0,0,0
20841,29,6,0,0,0
20881,15,1,0,0,0
20741,25,3,0,0,0
20781,15,1,0,0,0
20801,26,2,0,0,0
20761,25,10,0,0,0
20681,26,2,0,0,0
20721,15,1,0,0,0
20701,26,9,0,0,0
20661,26,2,0,0,0
20601,26,2,0,0,0
20641,15,1,0,0,0
20621,23,12,0,0,0
20581,27,1,0,0,0
20521,27,1,0,0,0
20561,27,1,0,0,0
20541,14,2,0,0,0
20501,25,10,0,0,0
20441,25,3,0,0,0
20481,27,1,0,0,0
20461,15,1,0,0,0
20421,23,12,0,0,0
20381,15,1,0,0,0
20401,27,1,0,0,0
20361,25,10,0,0,0
20341,27,1,0,0,0
20261,27,1,0,0,0
20321,27,1,0,0,0
20301,14,2,0,0,0
20281,21,14,0,0,0
20201,27,1,0,0,0
20241,23,5,0,0,0
20221,13,3,0,0,0
20181,18,17,0,0,0
20121,12,4,0,0,0
20161,25,3,0,0,0
20141,27,1,0,0,0
20101,18,17,0,0,0
20041,16,19,0,0,0
20081,12,4,0,0,0
20061,25,3,0,0,0
20021,24,4,0,0,0
19981,25,3,0,0,0
20001,12,4,0,0,0
19941,24,4,0,0,0
19961,17,18,0,0,0
19861,25,3,0,0,0
19921,21,14,0,0,0
19901,12,4,0,0,0
19881,24,4,0,0,0
19781,23,5,0,0,0
19801,24,4,0,0,0
19821,11,5,0,0,0
19841,18,17,0,0,0
19721,22,6,0,0,0
19761,23,5,0,0,0
19741,14,2,0,0,0
19701,15,20,0,0,0
